cwt_id,income_rank_id,house_type,house_burden,house_burden_rent,house_burden_mort
10,1,ตึกแถว,25.1,25.1,
10,1,บ้านเดี่ยว,14.2,14.2,
10,1,แฟลต อาคารชุด อพาร์ตเมนต์,23.8,23.8,
10,1,ห้องแบ่งเช่า,23.2,23.2,
10,2,ตึกแถว,14.5,14.5,
10,2,ทาวน์เฮาส์/บ้านแฝด,29.8,29.7,30
10,2,ที่พักกึ่งถาวร,4.6,4.6,
10,2,บ้านเดี่ยว,7.6,7.7,4.7
10,2,แฟลต อาคารชุด อพาร์ตเมนต์,17.9,17.9,14
10,2,ห้องแบ่งเช่า,12.3,12.3,
10,3,ตึกแถว,11,11,
10,3,ทาวน์เฮาส์/บ้านแฝด,19.6,18.4,24.4
10,3,บ้านเดี่ยว,10.9,10.1,41.7
10,3,แฟลต อาคารชุด อพาร์ตเมนต์,12.4,12.4,10.3
10,3,ห้องแบ่งเช่า,8,8,
10,4,ตึกแถว,9.6,9.5,14
10,4,ทาวน์เฮาส์/บ้านแฝด,18.2,17.4,19.4
10,4,บ้านเดี่ยว,5.4,4.8,12.1
10,4,แฟลต อาคารชุด อพาร์ตเมนต์,10.8,10.3,17.1
10,4,ห้องแบ่งเช่า,5.3,5.3,
10,5,ตึกแถว,10.2,9.6,25.7
10,5,ทาวน์เฮาส์/บ้านแฝด,18.3,14.9,22
10,5,บ้านเดี่ยว,8.1,3.5,27
10,5,แฟลต อาคารชุด อพาร์ตเมนต์,7.9,7.9,7.7
10,5,ห้องแบ่งเช่า,5,5,
10,6,ตึกแถว,15.3,9.5,27.9
10,6,ทาวน์เฮาส์/บ้านแฝด,14.6,9.7,16.7
10,6,บ้านเดี่ยว,11.9,6.8,16.6
10,6,แฟลต อาคารชุด อพาร์ตเมนต์,8.8,5.6,15.1
10,6,ห้องแบ่งเช่า,4.5,4.5,
13,1,แฟลต อาคารชุด อพาร์ตเมนต์,42.3,42.3,
13,2,ตึกแถว,10.6,10.6,
13,2,ทาวน์เฮาส์/บ้านแฝด,39.4,20.7,45.8
13,2,บ้านเดี่ยว,21.6,21.6,
13,2,แฟลต อาคารชุด อพาร์ตเมนต์,13.3,13.3,
13,3,ตึกแถว,8.1,8.1,
13,3,ทาวน์เฮาส์/บ้านแฝด,20.7,14.8,24.6
13,3,บ้านเดี่ยว,15.8,6.5,36.1
13,3,แฟลต อาคารชุด อพาร์ตเมนต์,8.7,8.5,9.8
13,4,ตึกแถว,6.5,6.5,
13,4,ทาวน์เฮาส์/บ้านแฝด,17,13,19.3
13,4,บ้านเดี่ยว,10.5,8.2,15.4
13,4,แฟลต อาคารชุด อพาร์ตเมนต์,6.6,6,8.3
13,4,ห้องแบ่งเช่า,0.6,0.6,
13,5,ตึกแถว,6,6,
13,5,ทาวน์เฮาส์/บ้านแฝด,20.6,10.8,21.4
13,5,บ้านเดี่ยว,8,4.3,10.4
13,5,แฟลต อาคารชุด อพาร์ตเมนต์,5,4.6,5.5
13,5,ห้องแบ่งเช่า,0.4,0.4,
13,6,ตึกแถว,6.8,6.8,
13,6,ทาวน์เฮาส์/บ้านแฝด,11.2,7.3,11.6
13,6,บ้านเดี่ยว,16.4,6.4,18.8
13,6,แฟลต อาคารชุด อพาร์ตเมนต์,6.2,,6.6
13,6,อื่น ๆ,4.8,4.8,
24,1,ตึกแถว,19.5,19.5,
24,2,ตึกแถว,13.6,13.6,
24,2,ทาวน์เฮาส์/บ้านแฝด,19.3,19.3,
24,2,บ้านเดี่ยว,13.6,13.6,
24,2,แฟลต อาคารชุด อพาร์ตเมนต์,19.6,19.6,
24,3,ตึกแถว,8,8,
24,3,ทาวน์เฮาส์/บ้านแฝด,20.3,20.3,
24,3,บ้านเดี่ยว,1.7,1.7,
24,3,แฟลต อาคารชุด อพาร์ตเมนต์,10.7,10.7,
24,4,ตึกแถว,8.9,8.9,
24,4,ทาวน์เฮาส์/บ้านแฝด,13.2,13.2,
24,4,บ้านเดี่ยว,9.1,1.3,39.4
24,4,แฟลต อาคารชุด อพาร์ตเมนต์,7.3,7.3,
24,5,ตึกแถว,4.4,4.4,
24,5,ทาวน์เฮาส์/บ้านแฝด,18.1,10.3,26
24,5,บ้านเดี่ยว,1.1,1.1,
24,5,แฟลต อาคารชุด อพาร์ตเมนต์,6,6,
24,6,ตึกแถว,6.2,3.1,15.6
24,6,ทาวน์เฮาส์/บ้านแฝด,7.9,,8.2
24,6,บ้านเดี่ยว,4.7,1.6,22.8
33,1,ตึกแถว,19,19,
33,1,บ้านเดี่ยว,63.1,63.1,
33,2,ตึกแถว,15.1,15.1,
33,2,บ้านเดี่ยว,30.5,42.9,8.7
33,2,แฟลต อาคารชุด อพาร์ตเมนต์,29.5,29.5,
33,3,ตึกแถว,10.6,10.6,
33,3,ทาวน์เฮาส์/บ้านแฝด,11.1,11.1,
33,3,บ้านเดี่ยว,18.2,17.5,18.7
33,3,แฟลต อาคารชุด อพาร์ตเมนต์,14,14,
33,4,บ้านเดี่ยว,13.3,,13.4
33,5,บ้านเดี่ยว,28,8.3,46.3
33,6,ตึกแถว,19.3,,19.3
33,6,ทาวน์เฮาส์/บ้านแฝด,24.2,,24.2
33,6,บ้านเดี่ยว,9.2,,9.4
40,1,บ้านเดี่ยว,28,28,
40,1,แฟลต อาคารชุด อพาร์ตเมนต์,33,33,
40,2,ตึกแถว,16,16,
40,2,บ้านเดี่ยว,14.2,14.2,
40,2,แฟลต อาคารชุด อพาร์ตเมนต์,18.2,18.2,
40,3,ตึกแถว,10.7,9.8,33.9
40,3,บ้านเดี่ยว,9.2,9.2,
40,3,แฟลต อาคารชุด อพาร์ตเมนต์,12.3,12.3,
40,4,ตึกแถว,11.3,11.3,
40,4,บ้านเดี่ยว,5.5,5.5,
40,4,แฟลต อาคารชุด อพาร์ตเมนต์,10,10,
40,5,ตึกแถว,4.7,4.7,
40,6,บ้านเดี่ยว,10.4,,10.4
45,1,ตึกแถว,41.2,41.2,
45,2,ตึกแถว,20.7,20.7,
45,3,ตึกแถว,12.5,12.5,
45,3,บ้านเดี่ยว,10.7,10.7,
45,4,ตึกแถว,7.4,7.4,
45,4,บ้านเดี่ยว,10.4,,10.4
45,5,บ้านเดี่ยว,14.9,7.8,17.1
45,6,ทาวน์เฮาส์/บ้านแฝด,10.6,,10.9
45,6,บ้านเดี่ยว,10.9,6.9,11.3
50,1,ตึกแถว,19.4,19.4,
50,1,บ้านเดี่ยว,17.1,17.1,
50,1,แฟลต อาคารชุด อพาร์ตเมนต์,46.5,46.5,
50,2,ตึกแถว,11.6,11.6,
50,2,บ้านเดี่ยว,16,15.5,17.6
50,2,แฟลต อาคารชุด อพาร์ตเมนต์,15.4,15.4,
50,3,ตึกแถว,8,8,
50,3,บ้านเดี่ยว,9.4,9.4,
50,3,แฟลต อาคารชุด อพาร์ตเมนต์,6.8,6.8,
50,4,ตึกแถว,7.7,7.7,
50,4,บ้านเดี่ยว,21.7,12.3,25.2
50,5,ตึกแถว,13.3,13.3,
50,5,บ้านเดี่ยว,23.9,,23.9
50,6,ตึกแถว,30,7.1,50
50,6,บ้านเดี่ยว,15.6,4.2,27.4
83,1,ตึกแถว,46.2,46.2,
83,2,ตึกแถว,17.5,17.5,
83,2,ทาวน์เฮาส์/บ้านแฝด,25.1,25.1,
83,2,บ้านเดี่ยว,24.8,24.8,
83,2,แฟลต อาคารชุด อพาร์ตเมนต์,21.7,21.7,
83,3,ตึกแถว,12.7,12.7,
83,3,ทาวน์เฮาส์/บ้านแฝด,51.5,,51.5
83,3,บ้านเดี่ยว,13.6,13.6,
83,3,แฟลต อาคารชุด อพาร์ตเมนต์,13.4,13.4,
83,4,ตึกแถว,10.9,10.9,
83,4,ทาวน์เฮาส์/บ้านแฝด,38.1,44.2,35.5
83,4,บ้านเดี่ยว,6,6,
83,4,แฟลต อาคารชุด อพาร์ตเมนต์,8.3,7.9,11.6
83,5,ตึกแถว,8.5,8.4,9
83,5,ทาวน์เฮาส์/บ้านแฝด,19.1,16.1,22.9
83,5,บ้านเดี่ยว,15.1,6.6,35.2
83,5,แฟลต อาคารชุด อพาร์ตเมนต์,6.4,6.2,7.2
83,6,ตึกแถว,8.4,6.1,13.5
83,6,ทาวน์เฮาส์/บ้านแฝด,19.2,12.1,21.5
83,6,บ้านเดี่ยว,15.7,12.7,19.7
83,6,แฟลต อาคารชุด อพาร์ตเมนต์,6.3,12.8,5
83,6,ห้องแบ่งเช่า,8.7,,8.7
84,1,ตึกแถว,19.8,19.8,
84,1,บ้านเดี่ยว,20.7,20.7,
84,2,ตึกแถว,13.4,13.4,
84,2,ทาวน์เฮาส์/บ้านแฝด,33.3,33.3,
84,2,บ้านเดี่ยว,13.9,13.9,
84,3,ตึกแถว,10.6,8.9,41.2
84,3,ทาวน์เฮาส์/บ้านแฝด,31.5,15.7,90
84,3,บ้านเดี่ยว,17,11.2,40.8
84,4,ตึกแถว,6.8,6.8,
84,4,ทาวน์เฮาส์/บ้านแฝด,11.6,11.6,
84,4,บ้านเดี่ยว,13.5,7.9,18.5
84,5,ตึกแถว,5,5,
84,5,ทาวน์เฮาส์/บ้านแฝด,23.1,,23.1
84,5,บ้านเดี่ยว,6.2,6.5,5.2
84,6,ตึกแถว,10,2.7,13.5
84,6,ทาวน์เฮาส์/บ้านแฝด,12.5,,12.6
84,6,บ้านเดี่ยว,29,,29
90,1,ตึกแถว,42,42,
90,1,บ้านเดี่ยว,18.8,18.8,
90,1,แฟลต อาคารชุด อพาร์ตเมนต์,21.9,21.9,
90,2,ตึกแถว,17.4,16.1,78.1
90,2,ทาวน์เฮาส์/บ้านแฝด,18.6,18.6,
90,2,บ้านเดี่ยว,15.9,15.9,
90,2,แฟลต อาคารชุด อพาร์ตเมนต์,20.9,20.9,
90,2,ห้องแบ่งเช่า,10.9,10.9,
90,3,ตึกแถว,14.3,14.3,
90,3,ทาวน์เฮาส์/บ้านแฝด,21,13.6,23.5
90,3,บ้านเดี่ยว,29.2,12.1,43.7
90,4,ตึกแถว,10.3,8.5,31.8
90,4,ทาวน์เฮาส์/บ้านแฝด,17.5,7,23.1
90,4,บ้านเดี่ยว,10.7,6.3,18.6
90,4,แฟลต อาคารชุด อพาร์ตเมนต์,11.1,11.1,
90,5,ตึกแถว,8.4,8.4,
90,5,ทาวน์เฮาส์/บ้านแฝด,27.3,,27.3
90,5,บ้านเดี่ยว,15.8,,15.8
90,6,ตึกแถว,14.8,,14.9
90,6,บ้านเดี่ยว,18.1,,18.2
95,1,ตึกแถว,24.4,24.4,
95,1,ทาวน์เฮาส์/บ้านแฝด,35,35,
95,1,บ้านเดี่ยว,14.5,14.5,
95,1,แฟลต อาคารชุด อพาร์ตเมนต์,21.9,21.9,
95,1,ห้องแบ่งเช่า,13.3,13.3,
95,2,ตึกแถว,17.3,17.3,
95,2,ทาวน์เฮาส์/บ้านแฝด,21.4,21.4,
95,2,บ้านเดี่ยว,14.3,14.3,
95,2,แฟลต อาคารชุด อพาร์ตเมนต์,14.8,14.8,
95,2,ห้องแบ่งเช่า,12.4,12.4,
95,3,ตึกแถว,14.1,13.9,16.2
95,3,ทาวน์เฮาส์/บ้านแฝด,13.3,13.3,
95,3,บ้านเดี่ยว,19.9,14.2,24.9
95,4,ตึกแถว,12.4,12.4,
95,4,ทาวน์เฮาส์/บ้านแฝด,18.9,12.1,22.9
95,5,ตึกแถว,11.3,11.3,
95,5,ทาวน์เฮาส์/บ้านแฝด,23.4,,23.4
95,5,บ้านเดี่ยว,15.1,,15.1
95,6,ตึกแถว,14.9,13,15.9
95,6,ทาวน์เฮาส์/บ้านแฝด,19.3,,19.4
95,6,บ้านเดี่ยว,22.1,,22.1
95,6,แฟลต อาคารชุด อพาร์ตเมนต์,4,4,
