cwt_id,income_rank_id,household_number
10,1,91561
10,2,835904
10,3,685483
10,4,491521
10,5,306224
10,6,690297
13,1,13433
13,2,67140
13,3,71616
13,4,69391
13,5,57397
13,6,116511
24,1,5165
24,2,39525
24,3,21900
24,4,17702
24,5,9344
24,6,11811
33,1,4697
33,2,9011
33,3,6998
33,4,2061
33,5,1458
33,6,3455
40,1,26566
40,2,94709
40,3,70630
40,4,26259
40,5,7838
40,6,14239
45,1,7501
45,2,16674
45,3,8806
45,4,3839
45,5,3215
45,6,5428
50,1,48783
50,2,103740
50,3,63919
50,4,48625
50,5,20832
50,6,44710
83,1,298
83,2,19717
83,3,35473
83,4,28987
83,5,24404
83,6,42428
84,1,7626
84,2,35108
84,3,43009
84,4,13695
84,5,13934
84,6,10205
90,1,37312
90,2,97603
90,3,71686
90,4,32593
90,5,21192
90,6,22889
95,1,4578
95,2,17450
95,3,7222
95,4,4266
95,5,2822
95,6,6668
